mobile,review_rating,Brand_x,Model_x,Brand_y,Model_y
https://gadgets.ndtv.com/alcatel-onetouch-pixi-4-3-5-3214,4.688547046415886,Alcatel,OneTouch Pixi 4 (3.5),Alcatel,OneTouch Pixi 4 (3.5)
https://gadgets.ndtv.com/alcatel-onetouch-pixi-4-4-3213,2.2008487654320987,Alcatel,OneTouch Pixi 4 (4),Alcatel,OneTouch Pixi 4 (4)
https://gadgets.ndtv.com/alcatel-pixi-4-6-3212,3.5368776327838827,Alcatel,Pixi 4 (6),Alcatel,Pixi 4 (6)
https://gadgets.ndtv.com/alcatel-flash-2-2979,0.0,Alcatel,Flash 2,Alcatel,Flash 2
https://gadgets.ndtv.com/alcatel-onetouch-pixi-first-2942,0.0,Alcatel,OneTouch Pixi First,Alcatel,OneTouch Pixi First
https://gadgets.ndtv.com/alcatel-onetouch-idol-3c-2941,0.0,Alcatel,OneTouch Idol 3C,Alcatel,OneTouch Idol 3C
https://gadgets.ndtv.com/alcatel-onetouch-go-play-2938,0.0,Alcatel,OneTouch Go Play,Alcatel,OneTouch Go Play
https://gadgets.ndtv.com/alcatel-onetouch-pop-up-2937,0.0,Alcatel,OneTouch Pop Up,Alcatel,OneTouch Pop Up
https://gadgets.ndtv.com/alcatel-onetouch-pop-star-lte-2936,0.0,Alcatel,OneTouch Pop Star LTE,Alcatel,OneTouch Pop Star LTE
https://gadgets.ndtv.com/alcatel-onetouch-pop-star-2935,0.0,Alcatel,OneTouch Pop Star,Alcatel,OneTouch Pop Star
https://gadgets.ndtv.com/alcatel-onetouch-pop-astro-2608,0.0,Alcatel,OneTouch Pop Astro,Alcatel,OneTouch Pop Astro
https://gadgets.ndtv.com/alcatel-onetouch-hero-2-2480,0.0,Alcatel,OneTouch Hero 2+,Alcatel,OneTouch Hero 2+
https://gadgets.ndtv.com/alcatel-onetouch-idol-3-5-5-2452,6.460000000000001,Alcatel,OneTouch Idol 3 (5.5),Alcatel,OneTouch Idol 3 (5.5)
